Symbol,Value
FBTC,1785541.39
FNGS,214826.95
TCAI,118692.90
META,66720.92
NVDA,58598.20
FBGKX,57159.22
MSTR,41973.53
URA,30299.04
MSFT,22115.83
GOOGL,21973.51
COCO,20075.30
AAPL,19954.72
IDXX,19869.72
NLR,14588.29
STRK,12682.18
FAST,10555.69
DY,10303.87
MNST,10076.66
ARQT,10068.86
GRMN,10068.49
ROP,9966.28
FFIV,9945.62
GH,9792.19
GDX,8029.00
CRDO,4923.90
SMH,4866.68
AVGO,4630.68
OKLO,4380.00
ASST,4246.25
TSM,4163.91
ASML,4122.58
GDLC,4078.17
PAAS,3755.57
STRF,3414.11
ANET,3225.76
IMOS,3182.09
GIS,3016.27
FIX,2975.81
AU,2935.01
MTPLF,2608.65
APH,2461.92
VRT,2377.81
STX,2230.99
AZN,2168.39
KGC,2157.77
HMY,2053.79
BAM,2050.95
JNJ,2016.14
CSCO,1992.32
B,1941.61
LRCX,1938.85
ADI,1934.71
CLS,1887.49
SMR,1862.00
PLTR,1829.36
ALAB,1782.66
ARM,1701.98
BE,1676.60
DELL,1655.52
NVS,1581.97
ROK,1577.87
OPEN,1523.00
ENB,1503.24
INOD,1499.14
EMBJ,1432.49
NUE,1337.04
WMB,1286.80
DLR,1270.56
TXRH,1197.18
LUGDF,1154.58
EIX,1150.91
AMD,1131.76
AMAT,1093.23
MRK,1067.02
FANG,1035.81
PWR,1033.69
SON,1027.04
PLAB,1025.07
OKE,1023.52
D,1016.87
PEP,1012.02
CEG,1009.65
APD,1006.25
ITW,1005.50
GILD,1003.96
PG,998.69
LMT,987.24
VNOM,957.37
CALM,955.71
EQIX,948.13
COHR,945.65
ACLS,945.62
CAJPY,880.20
JCI,862.89
VIAV,852.74
EME,844.78
ALB,819.67
OWL,741.75
KOF,701.52
RTX,694.65
IMO,687.88
SMLR,679.66
FNF,677.77
NEM,640.25
GLW,578.51
CMI,564.59
MOS,562.40
AUGO,561.62
WDC,557.36
STLD,548.11
FAF,534.41
DG,530.98
AM,527.45
BBD,524.42
NLY,522.52
NFG,522.47
GS,521.75
EXC,518.26
CMS,516.36
STZ,514.29
TIMB,513.27
TRGP,511.86
KDP,509.36
BG,508.50
TIGO,508.41
RY,508.17
UNP,505.38
NSC,504.62
WEC,504.53
CL,503.88
NTB,503.32
ALL,500.79
MCD,502.65
FCX,502.55
AMX,502.50
SRE,502.42
MYRG,502.26
BMY,502.17
USB,501.74
CB,500.79
CI,500.46
BKR,499.60
NOC,499.42
WGO,499.31
FMX,497.32
RL,493.65
AEM,491.73
GFI,483.28
GNRC,482.92
MDB,482.09
NAKA,481.20
LDOS,470.94
SNOW,460.97
QFIN,456.11
RMBS,453.22
THG,438.58
FLS,412.45
ETN,403.33
ESTC,399.09
ELTK,366.81
FSPGX,310.28
CTVA,303.60
NGG,300.32
BKH,291.79
PAGP,285.88
JXN,279.19
CF,269.15
IRM,250.23
WELL,247.06
TX,224.40
ASX,218.97
MWA,218.35
GEN,215.04
COF,209.89
TMICY,205.44
IVR,203.40
NEE,202.70
BGS,200.22
AMBP,199.73
UMC,195.85
AES,190.75
FETH,179.00
METC,169.59
HLI,167.01
DUK,162.95
FDX,152.98
QCOM,135.53
MAIN,135.12
ASR,128.45
SBRA,117.36
PAA,106.77
BXSL,106.65
TKO,101.35
